Datum;Zeit;Anrufer;Angerufener;Typ;Richtung;Dauer
Di. 24.05.2022;07:44:32;01221234567;00491331234566;SPRACHE;S;01:29
Mi. 25.05.2022;22:02:42;00491221234567;01611222222;SPRACHE;S;00:53
Do. 26.05.2022;23:56:24;01221234567;00491611233333;SPRACHE;S;01:34
Fr. 27.05.2022;09:47:39;00491221234567;+491511234444;SPRACHE;S;01:42
Sa. 28.05.2022;05:16:47;00491331234566;+491221234567;SPRACHE;E;01:55
So. 29.05.2022;12:53:08;01221234567;+491511111111;SPRACHE;S;00:57
Mo. 30.05.2022;09:10:42;+491611234555;00491221234567;SPRACHE;E;01:31
Di. 31.05.2022;15:03:00;00491611234555;+491221234567;SPRACHE;E;01:15
Mi. 01.06.2022;18:41:43;+491221234567;+491511111111;SPRACHE;S;00:04
Do. 02.06.2022;08:18:31;+491331234566;01221234567;SPRACHE;E;00:54
Fr. 03.06.2022;02:07:08;+491611234555;+491221234567;SPRACHE;E;01:46
Sa. 04.06.2022;20:42:57;+491221234567;01611234555;SPRACHE;S;01:03
So. 05.06.2022;10:10:26;+491221234567;01511111111;SPRACHE;S;00:57
Mo. 06.06.2022;23:12:31;00491221234567;+491611222222;SPRACHE;S;01:24
Di. 07.06.2022;14:36:16;00491221234567;00491331234566;SPRACHE;S;01:53
Mi. 08.06.2022;01:49:01;00491611222222;01221234567;SPRACHE;E;01:47
Do. 09.06.2022;08:21:49;01611233333;+491221234567;SPRACHE;E;00:14
Fr. 10.06.2022;10:20:47;+491221234567;00491611234555;SPRACHE;S;01:33
Sa. 11.06.2022;22:06:46;+491221234567;00491555555555;SPRACHE;S;02:00
So. 12.06.2022;16:53:45;+491221234567;01611234555;SPRACHE;S;01:49
Mo. 13.06.2022;09:37:39;+491221234567;00491611222222;SPRACHE;S;00:14
Di. 14.06.2022;23:55:02;01331234566;+491221234567;SPRACHE;E;00:01
Mi. 15.06.2022;04:23:44;01221234567;00491331234566;SPRACHE;S;00:13
Do. 16.06.2022;16:19:40;01511111111;+491221234567;SPRACHE;E;01:18
Fr. 17.06.2022;14:16:57;+491221234567;00491511234444;SPRACHE;S;00:37
Sa. 18.06.2022;03:39:58;01611222222;+491221234567;SPRACHE;E;00:10
So. 19.06.2022;12:52:00;+491611222222;01221234567;SPRACHE;E;01:15
Mo. 20.06.2022;01:07:00;01611234555;+491221234567;SPRACHE;E;00:37
Di. 21.06.2022;13:06:18;01221234567;00491331234566;SPRACHE;S;00:44
Mi. 22.06.2022;04:51:51;00491511234444;01221234567;SPRACHE;E;01:23
Do. 23.06.2022;07:33:03;00491611233333;01221234567;SPRACHE;E;01:05
Fr. 24.06.2022;08:27:36;00491611233333;00491221234567;SPRACHE;E;00:19
Sa. 25.06.2022;06:30:06;00491221234567;01511234444;SPRACHE;S;01:18
So. 26.06.2022;17:35:55;01611234555;+491221234567;SPRACHE;E;01:23
Mo. 27.06.2022;03:26:37;+491221234567;01331234566;SPRACHE;S;01:28
Di. 28.06.2022;07:42:14;+491221234567;+491611234555;SPRACHE;S;00:30
Mi. 29.06.2022;17:22:40;01555555555;00491221234567;SPRACHE;E;00:41
Do. 30.06.2022;15:19:58;+491221234567;01511234444;SPRACHE;S;01:26
Fr. 01.07.2022;12:20:28;01511111111;01221234567;SPRACHE;E;01:23
Sa. 02.07.2022;18:34:28;+491221234567;00491331234566;SPRACHE;S;00:49
So. 03.07.2022;18:50:57;00491221234567;00491511111111;SPRACHE;S;01:39
Mo. 04.07.2022;23:07:06;+491221234567;+491511234444;SPRACHE;S;00:44
Di. 05.07.2022;04:56:24;01331234566;00491221234567;SPRACHE;E;01:12
Mi. 06.07.2022;01:10:40;+491511234444;00491221234567;SPRACHE;E;01:47
Do. 07.07.2022;04:54:06;00491611233333;01221234567;SPRACHE;E;00:20
Fr. 08.07.2022;23:59:58;+491611234555;00491221234567;SPRACHE;E;00:01
Sa. 09.07.2022;14:26:23;01221234567;01611234555;SPRACHE;S;00:57
So. 10.07.2022;03:13:16;01221234567;00491611233333;SPRACHE;S;00:46
Mo. 11.07.2022;20:06:25;+491555555555;00491221234567;SPRACHE;E;00:26
Di. 12.07.2022;11:00:21;+491611234555;00491221234567;SPRACHE;E;01:52
Mi. 13.07.2022;02:36:36;+491511111111;+491221234567;SPRACHE;E;01:53
Do. 14.07.2022;07:28:17;+491511111111;00491221234567;SPRACHE;E;01:30
