Datum;Zeit;Anrufer;Angerufener;Typ;Richtung;Dauer
So. 29.05.2022;20:12:32;+491331234566;01511222222;SPRACHE;S;00:45
Mo. 30.05.2022;21:15:13;+491511222222;00491331234566;SPRACHE;E;01:34
Di. 31.05.2022;21:51:13;01511233333;+491331234566;SPRACHE;E;00:37
Mi. 01.06.2022;20:35:45;00491511222222;00491331234566;SPRACHE;E;01:06
Do. 02.06.2022;22:54:33;01511111111;00491331234566;SPRACHE;E;01:03
Fr. 03.06.2022;16:21:33;00491331234566;00491511234555;SPRACHE;S;00:44
Sa. 04.06.2022;09:23:43;00491331234566;01511234444;SPRACHE;S;01:00
So. 05.06.2022;09:23:02;+491331234566;01511233333;SPRACHE;S;01:06
Mo. 06.06.2022;17:54:51;01331234566;+491511234555;SPRACHE;S;01:54
Di. 07.06.2022;07:22:42;00491331234566;00491511234444;SPRACHE;S;01:57
Mi. 08.06.2022;06:05:38;00491331234566;01511222222;SPRACHE;S;00:38
Do. 09.06.2022;10:01:12;00491331234566;01511111111;SPRACHE;S;01:21
Fr. 10.06.2022;20:32:01;00491331234566;+491511234444;SPRACHE;S;01:32
Sa. 11.06.2022;15:05:37;+491511234444;01331234566;SPRACHE;E;01:49
So. 12.06.2022;11:57:58;01331234566;01511234444;SPRACHE;S;01:06
Mo. 13.06.2022;04:30:16;00491331234566;00491555555555;SPRACHE;S;00:14
Di. 14.06.2022;02:34:50;00491331234566;00491511233333;SPRACHE;S;01:58
Mi. 15.06.2022;20:45:58;01331234566;01511222222;SPRACHE;S;00:45
Do. 16.06.2022;18:10:43;01331234566;+491511234555;SPRACHE;S;00:27
Fr. 17.06.2022;08:07:17;01221234567;+491331234566;SPRACHE;E;00:00
Sa. 18.06.2022;10:41:22;+491331234566;+491511233333;SPRACHE;S;01:09
So. 19.06.2022;21:52:57;01511111111;01331234566;SPRACHE;E;01:28
Mo. 20.06.2022;05:55:12;00491511234555;01331234566;SPRACHE;E;01:04
Di. 21.06.2022;14:04:14;+491221234567;01331234566;SPRACHE;E;01:47
Mi. 22.06.2022;06:39:56;00491331234566;01511111111;SPRACHE;S;00:15
Do. 23.06.2022;16:04:32;00491511233333;+491331234566;SPRACHE;E;00:03
Fr. 24.06.2022;13:37:34;00491331234566;00491555555555;SPRACHE;S;01:31
Sa. 25.06.2022;23:07:24;00491511234555;00491331234566;SPRACHE;E;01:02
So. 26.06.2022;22:42:27;01331234566;+491511234555;SPRACHE;S;00:08
Mo. 27.06.2022;15:15:07;+491331234566;+491511233333;SPRACHE;S;00:11
Di. 28.06.2022;23:42:23;00491331234566;00491221234567;SPRACHE;S;01:32
Mi. 29.06.2022;08:40:10;00491221234567;00491331234566;SPRACHE;E;01:54
Do. 30.06.2022;16:18:54;00491511111111;01331234566;SPRACHE;E;00:05
Fr. 01.07.2022;14:38:17;00491511234444;+491331234566;SPRACHE;E;00:10
Sa. 02.07.2022;14:22:50;00491511234444;00491331234566;SPRACHE;E;00:58
So. 03.07.2022;04:10:50;+491331234566;+491511222222;SPRACHE;S;00:19
Mo. 04.07.2022;13:07:41;+491511111111;00491331234566;SPRACHE;E;00:44
Di. 05.07.2022;09:46:10;+491331234566;+491511111111;SPRACHE;S;01:54
Mi. 06.07.2022;05:55:55;01511111111;00491331234566;SPRACHE;E;01:27
Do. 07.07.2022;11:10:52;+491331234566;00491511234444;SPRACHE;S;00:20
Fr. 08.07.2022;07:36:39;+491511234444;01331234566;SPRACHE;E;00:26
Sa. 09.07.2022;10:09:09;+491331234566;+491221234567;SPRACHE;S;00:13
So. 10.07.2022;17:35:20;01511234444;00491331234566;SPRACHE;E;01:46
Mo. 11.07.2022;08:26:06;00491331234566;00491511111111;SPRACHE;S;00:39
Di. 12.07.2022;08:35:48;01331234566;+491511222222;SPRACHE;S;00:19
Mi. 13.07.2022;13:00:50;01221234567;00491331234566;SPRACHE;E;00:43
Do. 14.07.2022;16:25:50;+491331234566;00491555555555;SPRACHE;S;01:17
