Datum;Zeit;Anrufer;Angerufener;Typ;Richtung;Dauer
So. 08.05.2022;15:03:53;00491611234555;+491611233333;SPRACHE;E;00:37
Mo. 09.05.2022;18:37:33;+491513333331;+491611233333;SPRACHE;E;00:36
Di. 10.05.2022;02:15:15;00491513333331;01611233333;SPRACHE;E;00:18
Mi. 11.05.2022;20:15:11;+491221234567;01611233333;SPRACHE;E;00:33
Do. 12.05.2022;03:24:51;01611222222;00491611233333;SPRACHE;E;00:37
Fr. 13.05.2022;10:20:27;+491611233333;00491513333331;SPRACHE;S;02:00
Sa. 14.05.2022;20:58:04;+491611233333;+491611233333;SPRACHE;E;00:45
So. 15.05.2022;22:18:49;00491331234566;00491611233333;SPRACHE;E;01:23
Mo. 16.05.2022;01:48:07;01513333331;01611233333;SPRACHE;E;01:56
Di. 17.05.2022;16:04:34;00491611233333;01611233333;SPRACHE;E;00:26
Mi. 18.05.2022;15:14:49;+491611233333;+491221234567;SPRACHE;S;01:07
Do. 19.05.2022;18:07:14;+491611233333;01611233333;SPRACHE;S;00:01
Fr. 20.05.2022;11:47:48;+491544444445;01611233333;SPRACHE;E;00:53
Sa. 21.05.2022;00:55:52;01611233333;00491611233333;SPRACHE;S;01:55
So. 22.05.2022;02:19:50;01611233333;01611222222;SPRACHE;S;00:59
Mo. 23.05.2022;00:58:36;01611233333;+491611233333;SPRACHE;E;01:27
Di. 24.05.2022;20:36:09;00491611233333;01611233333;SPRACHE;S;00:54
Mi. 25.05.2022;18:49:01;+491611233333;01331234566;SPRACHE;S;01:31
Do. 26.05.2022;05:09:28;00491611222222;00491611233333;SPRACHE;E;00:24
Fr. 27.05.2022;14:22:14;+491611233333;00491611233333;SPRACHE;E;00:59
Sa. 28.05.2022;15:56:41;01611233333;+491611222222;SPRACHE;S;01:36
So. 29.05.2022;16:48:45;00491611233333;+491611222222;SPRACHE;S;01:37
Mo. 30.05.2022;13:11:36;00491611233333;00491611234555;SPRACHE;S;01:31
Di. 31.05.2022;22:17:29;+491611233333;01221234567;SPRACHE;S;00:58
Mi. 01.06.2022;20:49:10;01611233333;+491331234566;SPRACHE;S;00:12
Do. 02.06.2022;23:20:36;00491611233333;00491611234555;SPRACHE;S;00:54
Fr. 03.06.2022;11:13:14;+491513333331;+491611233333;SPRACHE;E;01:43
Sa. 04.06.2022;02:18:38;00491611222222;00491611233333;SPRACHE;E;01:30
So. 05.06.2022;14:39:03;01611233333;01611233333;SPRACHE;E;01:29
Mo. 06.06.2022;16:30:36;+491611234555;01611233333;SPRACHE;E;01:33
Di. 07.06.2022;08:00:54;+491611233333;00491611233333;SPRACHE;S;00:08
Mi. 08.06.2022;21:30:02;+491611233333;01544444445;SPRACHE;S;00:01
Do. 09.06.2022;23:44:20;00491611233333;01544444445;SPRACHE;S;00:27
Fr. 10.06.2022;18:05:55;00491611222222;00491611233333;SPRACHE;E;00:37
Sa. 11.06.2022;07:51:55;01513333331;00491611233333;SPRACHE;E;00:19
So. 12.06.2022;03:24:45;+491221234567;00491611233333;SPRACHE;E;01:18
Mo. 13.06.2022;16:58:25;01611233333;+491611233333;SPRACHE;E;01:39
Di. 14.06.2022;16:28:35;00491513333331;00491611233333;SPRACHE;E;01:21
Mi. 15.06.2022;00:51:32;01611233333;+491611233333;SPRACHE;E;01:31
Do. 16.06.2022;03:18:06;+491331234566;+491611233333;SPRACHE;E;00:58
Fr. 17.06.2022;07:01:45;01611233333;00491513333331;SPRACHE;S;01:47
Sa. 18.06.2022;05:06:51;00491611222222;01611233333;SPRACHE;E;01:45
So. 19.06.2022;21:25:20;01611233333;01611233333;SPRACHE;E;01:33
Mo. 20.06.2022;16:56:07;00491331234566;01611233333;SPRACHE;E;01:24
Di. 21.06.2022;21:12:47;00491611233333;01611233333;SPRACHE;E;01:08
Mi. 22.06.2022;06:49:51;01513333331;01611233333;SPRACHE;E;00:45
Do. 23.06.2022;20:59:01;+491611233333;01544444445;SPRACHE;S;01:33
Fr. 24.06.2022;22:17:42;00491611233333;+491611233333;SPRACHE;E;00:13
Sa. 25.06.2022;13:08:31;00491221234567;01611233333;SPRACHE;E;01:07
So. 26.06.2022;13:00:57;01611233333;+491611234555;SPRACHE;S;00:55
Mo. 27.06.2022;11:26:26;00491611233333;00491611234555;SPRACHE;S;00:30
Di. 28.06.2022;06:12:50;+491611222222;00491611233333;SPRACHE;E;01:36
Mi. 29.06.2022;04:57:45;01611233333;01513333331;SPRACHE;S;00:09
Do. 30.06.2022;22:23:25;+491611222222;01611233333;SPRACHE;E;01:30
Fr. 01.07.2022;11:04:14;00491611234555;01611233333;SPRACHE;E;01:21
Sa. 02.07.2022;08:35:27;+491611233333;00491611234555;SPRACHE;S;02:00
So. 03.07.2022;00:50:33;00491544444445;00491611233333;SPRACHE;E;01:10
Mo. 04.07.2022;23:46:24;+491611222222;00491611233333;SPRACHE;E;00:51
Di. 05.07.2022;01:45:09;+491611222222;+491611233333;SPRACHE;E;00:53
Mi. 06.07.2022;02:12:44;00491611233333;01221234567;SPRACHE;S;01:51
Do. 07.07.2022;11:47:18;01611233333;00491611222222;SPRACHE;S;01:48
Fr. 08.07.2022;16:30:28;01331234566;01611233333;SPRACHE;E;00:41
Sa. 09.07.2022;16:13:16;01611233333;01611233333;SPRACHE;E;01:19
So. 10.07.2022;07:41:45;+491611234555;00491611233333;SPRACHE;E;01:12
Mo. 11.07.2022;10:31:29;01544444445;+491611233333;SPRACHE;E;00:42
Di. 12.07.2022;09:01:15;+491611233333;01221234567;SPRACHE;S;00:01
Mi. 13.07.2022;03:39:38;01611233333;01331234566;SPRACHE;S;00:00
Do. 14.07.2022;18:30:59;00491611234555;01611233333;SPRACHE;E;01:15
