Datum;Zeit;Anrufer;Angerufener;Typ;Richtung;Dauer
Do. 10.06.2021;11:40:14;00491704935395;+4916283461833;SPRACHE;S;01:18
So. 20.06.2021;07:22:15;00491722702462;00491704935395;SPRACHE;E;01:53
Mo. 16.08.2021;07:27:03;00491704935395;004915162234170;SPRACHE;S;01:03
So. 29.08.2021;08:41:16;+491704935395;+491510745751;SPRACHE;S;07:45
Fr. 03.09.2021;16:03:28;+491722702462;00491704935395;SPRACHE;E;00:43
Do. 28.10.2021;17:54:58;015162234170;01704935395;SPRACHE;E;02:28
Do. 02.12.2021;10:08:03;+491704935395;015162234170;SPRACHE;S;08:25
So. 12.12.2021;19:47:50;+491704935395;01712821157;SPRACHE;S;09:20
Mi. 29.12.2021;19:49:32;+491704935395;00491722702462;SPRACHE;S;01:16
Do. 17.03.2022;17:24:18;+4915162234170;+491704935395;SPRACHE;E;06:49
Mi. 29.06.2022;22:02:19;+4915162234170;+491704935395;SPRACHE;E;01:03
Di. 02.08.2022;13:24:44;01722702462;00491704935395;SPRACHE;E;01:01
Sa. 06.08.2022;17:39:56;004915162234170;01704935395;SPRACHE;E;08:28
Mo. 19.09.2022;13:40:21;00491704935395;+491510745751;SPRACHE;S;02:17
Mo. 26.09.2022;18:15:21;+491720779368;+491704935395;SPRACHE;E;00:39
Di. 01.11.2022;22:46:22;00491510745751;+491704935395;SPRACHE;E;07:38
Mi. 14.12.2022;07:41:10;004915162234170;01704935395;SPRACHE;E;09:51
Mo. 19.12.2022;22:37:10;01722702462;01704935395;SPRACHE;E;05:36
Mi. 25.01.2023;21:47:01;+491722702462;01704935395;SPRACHE;E;06:57
Do. 09.02.2023;19:57:17;00491704935395;00491510745751;SPRACHE;S;05:05
Do. 02.03.2023;16:19:31;01704935395;004915162234170;SPRACHE;S;07:26
Mi. 03.05.2023;08:42:54;00491704935395;+491510745751;SPRACHE;S;03:10
Sa. 27.05.2023;21:19:20;01704935395;00491510745751;SPRACHE;S;05:08
Mo. 05.06.2023;15:01:22;00491722702462;01704935395;SPRACHE;E;08:58
Fr. 09.06.2023;11:51:19;01722702462;+491704935395;SPRACHE;E;03:19
Mi. 28.06.2023;11:14:34;01704935395;015162234170;SPRACHE;S;07:30
Mi. 30.08.2023;13:04:37;+491704935395;00491722702462;SPRACHE;S;06:46
Mi. 13.09.2023;22:44:06;00491510702341;+491704935395;SPRACHE;E;03:52
Mo. 13.11.2023;22:33:57;00491704935395;004916283461833;SPRACHE;S;01:30
So. 19.11.2023;22:00:38;+491510745751;+491704935395;SPRACHE;E;07:06
Mi. 13.12.2023;22:57:35;00491704935395;01722702462;SPRACHE;S;02:50
Fr. 15.12.2023;15:46:51;01722702462;+491704935395;SPRACHE;E;06:44
Mo. 05.02.2024;13:22:37;01704935395;01722702462;SPRACHE;S;06:51
So. 11.02.2024;11:09:29;00491704935395;00491510745751;SPRACHE;S;09:09
Mi. 28.02.2024;17:10:50;+491704935395;+4915794772181;SPRACHE;S;03:55
Sa. 02.03.2024;15:46:50;00491704935395;004916283461833;SPRACHE;S;07:45
So. 07.04.2024;18:03:29;00491704935395;015794772181;SPRACHE;S;06:08
Di. 16.04.2024;18:37:55;01704935395;004915162234170;SPRACHE;S;08:08
Do. 18.04.2024;08:31:24;01704935395;+4915162234170;SPRACHE;S;04:40
Fr. 19.04.2024;21:32:30;00491704935395;004915162234170;SPRACHE;S;06:55
Fr. 24.05.2024;08:49:52;004915162234170;01704935395;SPRACHE;E;03:59
Di. 16.07.2024;12:41:43;015162234170;00491704935395;SPRACHE;E;02:19
Mo. 12.08.2024;16:51:59;01722702462;01704935395;SPRACHE;E;08:42
So. 18.08.2024;14:11:44;+491510745751;00491704935395;SPRACHE;E;07:12
Mo. 26.08.2024;11:56:22;01704935395;+491722702462;SPRACHE;S;00:18
Fr. 13.09.2024;19:43:41;00491704935395;01510745751;SPRACHE;S;07:32
Mi. 02.10.2024;13:52:44;+491722702462;01704935395;SPRACHE;E;03:45
Mi. 15.01.2025;08:14:28;015729308610;00491704935395;SPRACHE;E;07:10
Fr. 31.01.2025;19:12:05;01722702462;01704935395;SPRACHE;E;00:57
Mo. 03.03.2025;19:10:01;01704935395;015162234170;SPRACHE;S;01:16
Mo. 03.03.2025;22:03:28;004916059182562;01704935395;SPRACHE;E;08:37
Do. 13.03.2025;21:20:37;01704935395;01722702462;SPRACHE;S;00:17
Mi. 09.04.2025;14:35:40;015162234170;+491704935395;SPRACHE;E;07:05
Mo. 21.04.2025;21:48:41;+4915162234170;01704935395;SPRACHE;E;07:29
So. 04.05.2025;09:28:05;+491704935395;004915162234170;SPRACHE;S;04:55
Mi. 09.07.2025;17:45:56;+491704935395;004917704686206;SPRACHE;S;01:59
Mi. 30.07.2025;14:26:18;01704935395;01722702462;SPRACHE;S;09:37
So. 10.08.2025;19:51:50;+4915162234170;+491704935395;SPRACHE;E;03:57
Sa. 22.11.2025;17:17:47;004916283461833;00491704935395;SPRACHE;E;03:16
